"State","County","Low_access._seniors_age_65+_at_1/2_mile._number","Low_access._seniors_age_65+_at_1/2_mile._share","Low_access._seniors_age_65+_at_1_mile._number","Low_access._seniors_age_65+_at_1_mile._share","Low_access._seniors_age_65+_at_10_miles._number","Low_access._seniors_age_65+_at_10_miles._share","Low_access._seniors_age_65+_at_20_miles._number","Low_access._seniors_age_65+_at_20_miles._share"
"MT","Hill",296.859869513883,91.3495641083333,209.83546129715,70.885837235,77.3753706613667,38.458015265,38.75627084985,18.8420342683333
"MT","Jefferson",505.902859705733,95.59801203,462.422968977933,89.0201163066667,158.441121760167,29.9209197733333,80.3155522351,15.4174571
"MT","Judith Basin",423.8428425265,98.33940662,338.2055382519,78.46996247,278.3519284977,64.58281404,27.9365828392,6.48180576
"MT","Lake",533.170626759362,89.89761380125,447.19875620535,79.45430541375,74.2102417637375,16.86181695875,0.2872078464625,0.054819755
"MT","Lewis and Clark",525.392116483357,82.3613820828571,334.353967332707,58.7956553428571,63.5551023927571,13.8447488764286,43.3987560586143,8.99931658071429
"MT","Liberty",411.1721097929,88.99829216,225.7679410052,48.8675197,152.532746241,33.01574594,84.8659037083,18.36924323
"MT","Lincoln",673.24082789656,82.332519208,533.38170936334,61.550900996,115.95700717416,13.339263624,29.95875521262,3.975184422
"MT","Madison",502.654070415233,92.2242357833333,468.570747909167,84.62090493,174.814452682467,32.0865035466667,13.9071495137333,2.40828785333333
"MT","McCone",382.0000012436,100.00000033,381.9948532526,99.99865268,359.442498653,94.09489494,311.2403181054,81.47652306
"MT","Meagher",428.0000021741,100.00000051,428.0000021741,100.00000051,428.0000021741,100.00000051,427.6899892832,99.92756759
"MT","Mineral",392.1890626482,84.68755049,370.8626709842,80.102592715,201.74630505095,43.818215125,57.0508006431,11.892753205
"MT","Missoula",454.840853273985,67.096656661,301.480250528435,41.8480238425,64.85805549731,9.0574904965,9.71995508546,1.587442908
"MT","Musselshell",284.77776150505,58.29259868,271.8272973795,54.55497712,136.88419342455,26.68307864,44.08217091615,8.593015775
"MT","Park",337.666671943683,70.7779960683333,248.487315818117,58.1736897233333,109.84865041195,26.5087971916667,42.6303248190167,10.4351358683333
"MT","Petroleum",103.0000007875,100.00000076,103.0000007875,100.00000076,103.0000007875,100.00000076,103.0000007875,100.00000076
"MT","Phillips",540.5183619622,62.6324869,372.3781473002,43.14926388,288.5164766304,33.43180494,216.0448921974,25.03417059
"MT","Pondera",383.84335364975,76.16283069,264.766680371,61.729294535,209.014527431,54.400270025,62.2069129857,17.56345085
"MT","Powder River",246.6203566267,62.27786784,230.4723997671,58.20010095,175.3515983904,44.28070666,120.3493994815,30.3912625
"MT","Powell",398.27086132125,79.547855085,230.0915986363,60.1946603,135.25935689075,47.262683725,42.63941523325,15.06693118
"MT","Prairie",307.0000001899,100.00000006,307.0000001899,100.00000006,307.0000001899,100.00000006,305.0748733838,99.37292293
"MT","Ravalli",653.75276245191,88.229862126,548.91829946902,76.740367963,28.29029149225,7.724315572,6.18419642347,2.224531088
"MT","Richland",242.843054986,76.0278234575,179.267745439,62.400053115,94.34659321545,40.5135194475,26.7841114571,11.4882265075
"MT","Roosevelt",321.0945631699,89.2383392833333,249.484474463633,75.02998835,219.1762972892,68.6152545433333,204.727571556867,64.72411904
"MT","Rosebud",187.769561223275,73.8075453675,141.50756508615,58.5147787125,72.4098572409,27.506285175,22.026323573875,6.0300180375
"MT","Sanders",681.211774849467,85.5012644233333,618.147171812133,79.4866217766667,320.416149417267,46.41945464,133.176296313167,10.86300714
"MT","Sheridan",213.5255514998,69.08110657,175.23342546745,62.410004475,133.2144958636,54.047230435,14.590516705,6.021227015
"MT","Silver Bow",511.465103014238,72.0926012225,234.992329408125,34.20173396375,10.2505464919875,1.3091374825,4.106205035975,0.524419545
"MT","Stillwater",380.775886618533,78.5463126,320.8574988433,67.7864416766667,92.1293385472333,20.9230752966667,19.9351124958333,4.61493954
"MT","Sweet Grass",394.4068068678,52.30859508,320.1664989493,42.46240039,125.5006219379,16.64464482,13.032035838,1.72838672
"MT","Teton",320.778643400467,82.9529640733333,270.9540040941,74.4213477533333,236.4683575732,66.37592563,90.5666381541333,25.1968963633333
"MT","Toole",164.699066441267,85.2111847433333,104.6049227607,74.32456451,84.0540556958,37.9922939433333,52.5291266315,27.6147095633333
"MT","Treasure",171.000000303,100.00000018,171.000000303,100.00000018,171.000000303,100.00000018,160.2095986721,93.68982378
"MT","Valley",415.237686151133,85.3583131466667,254.8367911726,60.31884856,198.0228824932,48.5801848633333,76.1288509655333,20.5280169733333
"MT","Wheatland",448.0000013817,100.00000031,448.0000013817,100.00000031,448.0000013817,100.00000031,448.0000013817,100.00000031
"MT","Wibaux",242.9999979529,99.99999916,242.9999979529,99.99999916,116.5940957662,47.98110937,10.4116711584,4.28463834
"MT","Yellowstone",497.643099596269,75.2737209159375,250.338934948459,36.885464994067,29.0394896262781,4.686354363125,8.26632359052187,1.3062340221875
"NC","Alamance",498.640159598897,82.7185967802778,327.789587482322,56.0735819858333,8.76667178177222,1.73099150811861,0,0
"NC","Alexander",742.681597199729,94.9230939071429,642.162608575957,86.2742407871429,1.53743556971429,0.316997024285714,0,0
"NC","Alleghany",668.447752798033,88.1766927433333,594.6452022904,79.4115442266667,28.3110371233667,4.14873984666667,0,0
"NC","Anson",582.4582249166,94.1914533466667,480.11599138765,81.4746967283333,1.4420334834,0.182307078333333,0,0
"NC","Ashe",853.84775986035,94.995097395,736.615663594017,84.8241322733333,46.9835757851,6.99457623,0,0
"NC","Avery",556.72483011956,91.079693896,491.63929953904,80.788935106,0,0,0,0
"NC","Beaufort",689.788511888964,86.8686554336364,534.068935459355,68.5469595972727,44.4084650419818,6.10829830714326,0,0
"NC","Bertie",897.29991989175,97.8332310675,865.492143934325,94.277465545,101.628628817175,9.269668415,0,0
"NC","Bladen",828.925804730767,92.1548028483333,716.109950444583,81.4756229833333,65.41274315985,8.176854095,0,0
"NC","Brunswick",644.641554796461,89.7671201378788,516.8399014885,73.7245583651515,5.19073550576061,1.1083991869697,0,0
"NC","Buncombe",549.324348071121,79.4367994944643,357.715790586829,51.0349999794643,0.842942603289286,0.1581369525,0,0
"NC","Burke",737.211021357367,91.27328235,612.522187056572,76.6644329894444,2.95417137285,0.390582946666667,0,0
"NC","Cabarrus",448.145325398405,82.161079042973,270.230477676297,48.9783924794987,0,0,0,0
"NC","Caldwell",672.532706240106,89.6698657564706,527.987420429406,71.1671101017647,2.65261310441765,0.424694132941176,0,0
"NC","Camden",641.4896469251,99.998361865,640.5231738402,99.84543891,18.0700046382,2.85074587,0,0
"NC","Carteret",293.964890067258,84.5392996152632,223.740966616197,64.6803533152632,0.715671388544737,0.110084856052632,0,0
"NC","Caswell",623.000893885883,99.6954193016667,617.87752644115,99.111828115,72.4571671835167,14.2106652066667,0,0
"NC","Catawba",598.761617357981,86.7903188383871,392.9509300603,60.1814224025806,0,0,0,0
"NC","Chatham",798.622477275969,92.2970071053846,659.349314296561,78.2564734523077,21.5817192222154,2.86603623153846,0,0
"NC","Cherokee",878.369225467814,98.2538460971429,808.688786643357,91.8337732971429,4.43467196582857,0.862776647142857,0,0
"NC","Chowan",759.040298161967,82.1948554,660.5574493598,73.62331634,183.002891001267,14.69902739,0,0
"NC","Clay",1232.1346135026,98.63769092,1120.2791915442,89.617499875,48.6332635437,3.85978282,0,0
"NC","Cleveland",598.993424965764,91.2402426922727,429.171169976255,68.6422786695454,9.55248391821364,1.49240123909091,0,0
"NC","Columbus",583.200897712569,87.4825860623077,488.545888665931,74.8696870538461,4.2558503745,0.708314963076923,0,0
"NC","Craven",654.874308032948,84.1514834490476,514.151123789767,60.4914265852381,1.60744379732381,0.306389637619048,0,0
"NC","Cumberland",338.318520247674,71.9380591792647,173.266780512051,38.5404856076471,0.289101515416176,0.0494190625,0,0
"NC","Currituck",359.340970013212,82.16029483,327.237288208913,74.15281683625,53.9846755984875,18.93036875375,0,0
"NC","Dare",405.5596874176,71.0741336854545,301.969066028855,52.7733718709091,17.2883519137545,4.96319198454545,0,0
"NC","Davidson",619.393560031665,88.4696838985294,497.041958954174,70.1899699831648,0,0,0,0
"NC","Davie",917.122628697357,93.6385069414286,688.769617065814,72.2297621671429,0,0,0,0
"NC","Duplin",645.814640053745,87.0660252336364,522.215396589636,73.1159423627273,4.7668266414,0.760028825454545,0,0
"NC","Durham",347.909390105308,68.2075408825,181.295716515312,30.2121199496667,0.175407559646667,0.01840583,0,0
"NC","Edgecombe",469.881976181114,85.9510856314286,341.699992682907,68.5158019135714,0,0,0,0
"NC","Forsyth",399.732916480732,81.9985808313163,237.152987418887,49.3013546873118,0,0,0,0
"NC","Franklin",596.39430679895,92.1323052933333,539.037772033358,82.575254755,26.0961270292833,4.00141444333333,0,0
"NC","Gaston",334.927143576849,81.365796454,209.631276702437,51.0510969444615,0,0,0,0
"NC","Gates",594.5469048427,97.4620633333333,566.1461348071,92.9959780633333,0.335551522933333,0.0466578874780507,0,0
"NC","Graham",531.061649071567,92.9675955933333,490.188053658033,86.5058190433333,24.6041881547,4.93666755666667,0,0
"NC","Granville",486.252418251223,88.50728509,409.123320391477,76.0026118330769,18.4616233042923,2.59732854230769,0,0
"NC","Greene",664.841512272925,99.87762921,635.128227307425,97.2961100975,0,0,0,0
"NC","Guilford",410.418745765772,79.3085066157983,213.409530055782,37.6449676170588,0,0,0,0
"NC","Halifax",627.452792097017,86.155652845,440.9642348566,60.8676038441667,47.8193133392583,6.31608032583333,0,0
"NC","Harnett",389.638150223056,91.0229631177778,298.814047643059,75.0675867607407,0,0,0,0
"NC","Haywood",689.017044005044,86.325213973125,529.234427978875,65.87148933125,13.9633974283625,5.31517088125,0,0
"NC","Henderson",758.585129032589,79.5813403303704,558.210392521556,59.9552084903704,0.210363679911111,0.0250731440740741,0,0
"NC","Hertford",659.85464904924,86.59266643,573.45618595386,76.778639134,27.2966378024,3.357520024,0,0
"NC","Hoke",346.219660722344,83.9823522388889,293.5581155839,76.4793619711111,0,0,0,0
"NC","Hyde",430.5580738133,49.206637005,414.6927453215,47.39345661,236.3669347789,27.013363975,0.05757726515,0.00658026
"NC","Iredell",404.232032554095,88.8508778084091,292.413620301793,66.2617601129545,2.04528382032045,0.414864872272727,0,0
"NC","Jackson",629.854174433433,94.4224723111111,575.303863804044,87.55707425,10.3686404147556,2.36187708777778,0,0
"NC","Johnston",566.38846686036,81.475895466,453.68900969236,66.0219225904,0,0,0,0
"NC","Jones",554.847055810567,95.3545548633333,532.258591933333,91.65201816,0,0,0,0
"NC","Lee",563.389666996869,92.3818101238462,446.657720001954,71.4169436907692,0,0,0,0
"NC","Lenoir",475.745576089107,69.0359328553333,340.291027490693,49.453620804,0,0,0,0
"NC","Lincoln",539.396274425533,93.5088030772222,460.032770865833,81.1506792161111,0,0,0,0
"NC","Macon",832.654859675167,92.5977696044445,726.5394053407,80.8956392477778,22.3884803426889,2.32692804777778,0,0
"NC","Madison",585.483671428617,97.2864859733333,534.09370051905,91.694682625,66.4917295388333,13.939539760573,0,0
"NC","Martin",665.996404078083,94.2844986216667,553.914726265983,80.4492527966667,3.42589367251667,0.619546355,0,0
"NC","McDowell",656.1143348122,88.011941942,554.89018169434,70.542857391,10.500345874,1.032898912,0,0
"NC","Mecklenburg",258.097722985303,71.4483691357511,103.308126170864,27.9886807594421,0,0,0,0
"NC","Mitchell",780.480574354825,96.3602873075,719.4122874009,89.78169943,42.4818324813,6.7411696675,0,0
"NC","Montgomery",653.690868809917,90.1777746466667,551.082763211433,76.72663999,1.81357666965,0.185997043333333,0,0
"NC","Moore",1032.89503848405,92.573041545,855.670041239544,76.9981232905556,0.8454011921,0.181980647777778,0,0
"NC","Nash",582.762349293472,80.6692239877778,396.278611066494,56.4083559266667,2.65751538547222,0.367567826666667,0,0
"NC","New Hanover",485.457885085849,76.0846948708889,239.041002094182,35.5408737097778,0,0,0,0
"NC","Northampton",798.26190926304,92.568889552,728.51971863356,84.56065889,7.62249281484,0.753488396,0,0
"NC","Onslow",369.187578176759,78.4811992171875,279.262930265147,61.2057729153125,0.550229653721875,0.09884341,0,0
"NC","Orange",392.159805469632,81.9923067021429,263.96656342755,53.7318627442857,0.116779716282143,0.0202041032142857,0,0
"NC","Pamlico",651.2673477029,91.924049265,558.768397072075,79.5244383275,38.305195584825,5.0976880775,0,0
"NC","Pasquotank",486.64080996638,89.939944651,311.86400883467,61.210825772,17.86221637364,4.971180168,0,0
"NC","Pender",463.650337126563,86.62662878625,427.9686963248,80.177263359375,35.4105275741938,6.912056209375,0,0
"NC","Perquimans",942.699764995967,97.5044097033333,879.481249594733,87.26914804,26.6975475930667,2.23597551,0,0
"NC","Person",781.630776974157,90.4945871571429,646.899083896171,75.2402447685714,17.6629596230714,1.72539189571429,0,0
"NC","Pitt",407.067734787247,77.9391966153125,231.353921122063,44.7593646750491,0.027599822496875,0.00363094375,0,0
"NC","Polk",648.958857093714,92.4171380714286,501.693276518557,76.1930935185714,0,0,0,0
"NC","Randolph",641.166480071679,89.7093363560714,490.002631642446,65.9968371157143,11.713249748325,1.52534277392857,0,0
"NC","Richmond",501.761032763309,80.81093506,328.578163980173,51.6532000136364,2.79527912163636,0.668351733636364,0,0
"NC","Robeson",396.873431341065,83.2369834083871,316.275279200545,67.3320404106452,0.000318249851612903,5.28654240510135e-05,0,0
"NC","Rockingham",676.903017564457,94.2727575714286,560.034766492262,78.8422741490476,0,0,0,0
"NC","Rowan",594.138594802337,90.067470043,450.503213264193,67.326023534,0,0,0,0
"NC","Rutherford",853.456353085623,93.8187764123077,755.326571133646,82.5291121253846,28.5482488349692,2.52271053461538,0,0
"NC","Sampson",738.192585757418,89.8804263809091,623.283240936636,76.8122716172727,28.4096608380182,3.77788043090909,0,0
"NC","Scotland",604.0980979558,86.9044522728571,463.419058023071,65.5072748742857,24.7954538728714,2.72477515142857,0,0
"NC","Stanly",674.153909105008,92.7757138630769,512.808057427569,72.9870214030769,0,0,0,0
"NC","Stokes",770.415021176767,93.8951911377778,657.593470674489,82.8584381966667,48.4214330070222,6.60744897666667,0,0
"NC","Surry",495.500060818809,91.2285418536364,382.381728825236,74.6406779213636,2.00468931490909,0.327794853181818,0,0
"NC","Swain",431.6626041646,74.707957228,369.47739713186,64.62077075,12.27523501544,2.042101318,0,0
"NC","Transylvania",1032.6132693425,87.6639357071429,821.371621514114,74.73422975,30.7182498705143,4.45460125571429,0,0
"NC","Tyrrell",594.4334756788,80.11232826,560.2308772702,75.50281365,126.6298623578,17.06601919,0,0
"NC","Union",421.295857158341,88.2003315434146,311.427213427327,64.2739749626829,0.857786588029268,0.116073963170732,0,0
"NC","Vance",513.53427196082,80.40366495,377.81865946,56.529709205,13.29043989417,2.15403051260166,0,0
"NC","Wake",290.257908616535,70.7354756125134,133.973140332232,32.5135427029415,0,0,0,0
"NC","Warren",598.93148872025,93.5794801666667,548.798150583417,87.6601803583333,37.8309718022833,8.89010749762875,0,0
"NC","Washington",736.1427118438,94.01471711,587.4501597905,80.2341698666667,106.099788558133,16.36850297,0,0
"NC","Watauga",423.290897310977,84.3077984761538,365.136476166531,73.2599748546154,4.42383587568462,0.862299929230769,0,0
"NC","Wayne",528.709034582038,83.1777550323077,391.904498250288,59.5042811453846,0,0,0,0
"NC","Wilkes",770.195851747229,89.8779383921429,658.349454626629,72.8235636971429,21.9739490236643,2.33295097857143,0,0
"NC","Wilson",431.1296533639,74.9801339089474,259.2191203384,46.2290642168421,0,0,0,0
"NC","Yadkin",828.031558435414,94.1136515128571,722.704417744,84.0466325371429,0.415632444171429,0.0429816385714286,0,0
"NC","Yancey",665.57140285108,91.724630358,593.98455694728,83.530062546,0.00482590198,0.00067874852112074,0,0
"ND","Adams",310.9486986516,54.7444892,237.8985388672,41.88354558,142.1547741384,25.02724897,7.2472485997,1.27592405
"ND","Barnes",326.865168483225,72.549879695,198.53091549555,53.9311266925,127.13682519785,34.6934886575,30.223665383375,7.4821638325
"ND","Benson",213.249999685375,99.99999984,213.247826695725,99.9985414575,164.32061817935,70.93500736,91.89327407635,36.35113369
"ND","Billings",150.9999990262,99.99999936,150.9999990262,99.99999936,150.9999990262,99.99999936,133.7980541776,88.6079829
"ND","Bottineau",291.3984292837,69.93432862,272.05888071,66.4601100933333,203.516210898033,52.55745437,96.1353136113,28.97693105
"ND","Bowman",162.31344603105,60.068140445,123.59700155625,51.651522085,94.6603231496,40.801863425,7.607599789,3.27913784
"ND","Burke",411.9999990866,99.99999978,411.9999990866,99.99999978,411.9999990866,99.99999978,304.6350971822,73.94055757
"ND","Burleigh",434.686716445226,79.43843323,218.631017612837,48.3036417,24.6067692026158,8.05754149631579,11.2543515799474,3.68728630631579
"ND","Cass",303.72056980537,70.6977047609091,102.906262842458,27.4615790890909,36.8355099214,10.8287956672727,11.6718016495242,3.42064830939394
"ND","Cavalier",400.1495917693,79.357465875,248.90404142865,51.129628045,183.5502019488,37.845402465,64.19257998015,13.2355835
"ND","Dickey",312.3713034576,85.4355167266667,238.408792921633,71.5546921566667,204.1821993328,63.9190722966667,163.938121043433,51.7758321233333
