"","County.Name","State","Score.Clot","Score.Sepsis","Score.Cath.Infection","Score.Serious.Complication","Score.Death.Complications"
"1558","MONROE","FL",6.49,10.98,0.15,1.26,NA
"1559","MONROE","GA",NA,NA,NA,NA,NA
"1560","MONROE","IA",NA,NA,NA,NA,NA
"1561","MONROE","IN",1.39,9.98,0.09,0.67,134.05
"1562","MONROE","KY",NA,NA,0.17,0.87,NA
"1563","MONROE","MI",8.51,7.55,0.21,0.88,104.75
"1564","MONROE","MS",4.77,9.26,0.15,0.77,NA
"1565","MONROE","NY",5.55,20.17,0.21,1.07,157.89
"1566","MONROE","PA",3.28,10.77,0.1,0.7,123.85
"1567","MONROE","TN",6.45,NA,0.16,0.88,NA
"1568","MONROE","WI",NA,NA,NA,NA,NA
"1569","MONTAGUE","TX",NA,NA,0.17,0.9,NA
"1570","MONTCALM","MI",5.09,12.99,0.16,1.13,NA
"1571","MONTEREY","CA",5.13,11.58,0.27,0.92,138.93
"1572","MONTEZUMA","CO",NA,NA,NA,NA,NA
"1573","MONTGOMERY","AL",3.48,11.66,0.22,0.77,171.58
"1574","MONTGOMERY","IA",NA,NA,NA,NA,NA
"1575","MONTGOMERY","IL",NA,NA,NA,NA,NA
"1576","MONTGOMERY","IN",4.34,NA,0.16,0.91,NA
"1577","MONTGOMERY","KS",6.56,9.4,0.15,0.89,NA
"1578","MONTGOMERY","KY",6.06,9.92,0.16,1.01,NA
"1579","MONTGOMERY","MD",NA,NA,NA,NA,NA
"1580","MONTGOMERY","MS",NA,NA,NA,NA,NA
"1581","MONTGOMERY","NC",NA,NA,NA,NA,NA
"1582","MONTGOMERY","NY",2.99,9.76,0.13,0.61,NA
"1583","MONTGOMERY","OH",8.31,11.37,0.22,0.9,141.66
"1584","MONTGOMERY","PA",8.47,10.32,0.41,1.1,154.84
"1585","MONTGOMERY","TN",3.78,9.05,0.12,0.98,117.11
"1586","MONTGOMERY","TX",7.07,9.9,0.17,1,152.18
"1587","MONTGOMERY","VA",4.63,13.82,0.14,0.89,159.55
"1588","MONTOUR","PA",5.77,15.3,0.11,1.15,128.48
"1589","MONTROSE","CO",3.9,NA,0.4,0.79,NA
"1590","MOODY","SD",NA,NA,NA,NA,NA
"1591","MOORE","NC",4.83,10.35,0.06,0.86,124.61
"1592","MOORE","TX",5.08,NA,0.17,0.85,NA
"1593","MOREHOUSE","LA",4.93,9.67,0.16,0.96,NA
"1594","MORGAN","AL",4.22,NA,0.28,1.15,188.6
"1595","MORGAN","CO",5.42,9.77,0.17,0.93,NA
"1596","MORGAN","GA",NA,NA,NA,NA,NA
"1597","MORGAN","IL",3.79,10.62,0.15,0.64,125.67
"1598","MORGAN","IN",1.63,8.54,0.15,0.49,127.59
"1599","MORGAN","KY",NA,NA,NA,NA,NA
"1600","MORGAN","WV",NA,NA,NA,NA,NA
"1601","MORRILL","NE",NA,NA,NA,NA,NA
"1602","MORRIS","KS",NA,NA,NA,NA,NA
"1603","MORRIS","NJ",8.15,11.41,0.18,1.03,169.79
"1604","MORRISON","MN",NA,NA,NA,NA,NA
"1605","MORROW","OH",NA,NA,NA,NA,NA
"1606","MORROW","OR",NA,NA,NA,NA,NA
"1607","MORTON","KS",NA,NA,0.17,0.88,NA
"1608","MOUNTRAIL","ND",NA,NA,NA,NA,NA
"1609","MUHLENBERG","KY",4.37,NA,0.16,0.9,NA
"1610","MULTNOMAH","OR",10.2,14.42,0.2,1.37,159.25
